deal_id,cik,company_name,sic,first_filed,last_filed,filings,n_filings,outcome
241,0001102411,ASAT CAYMAN LTD,3674,2000-10-03,2000-10-12,"S-4/A,S-4/A",2,likely_not_completed
242,0001104042,ADVANCED ANALOGIC TECHNOLOGIES INC,3674,2011-05-26,2011-11-10,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",28,likely_completed
243,0001107194,CENTILLIUM COMMUNICATIONS INC,3661,2008-07-10,2008-10-17,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",18,likely_completed
244,0001107721,ACTIVCARD SA,7372,2002-09-25,2003-07-18,"425,425,425,425,425,425,425,425,425,425,425,425,425",13,likely_completed
245,0001108185,OCCAM NETWORKS INC/DE,3576,2001-11-13,2002-04-30,"425,425,425,S-4,S-4/A,425,425,S-4/A,425,425,S-4/A,425,425",13,likely_not_completed
246,0001108185,OCCAM NETWORKS INC/DE,3576,2010-09-16,2011-02-11,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",42,likely_completed
247,0001109808,AVOCENT CORP,3577,2000-03-31,2000-06-01,"S-4,S-4/A,S-4/A,S-4/A",4,likely_not_completed
248,0001114973,ADVANCED POWER TECHNOLOGY INC,3674,2005-11-07,2006-04-13,"425,425,425,425,425",5,likely_completed
249,0001116152,ACCORD NETWORKS LTD,3576,2000-12-06,2000-12-19,"425,425,425,425,425,425,425,425",8,likely_completed
250,0001116521,AVAYA INC,3661,2002-12-23,2003-01-22,"S-4,S-4/A,S-4/A",3,likely_not_completed
251,0001116521,AVAYA INC,3661,2009-12-23,2009-12-23,S-4,1,likely_not_completed
252,0001118941,ENDWAVE CORP,3663,2011-02-07,2011-05-18,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",21,likely_completed
253,0001119332,EIMO PLC,3669,2000-07-14,2001-05-25,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",17,likely_not_completed
254,0001119769,CERAGON NETWORKS LTD,3663,2022-06-27,2022-08-18,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",16,likely_not_completed
255,0001122411,"ASE Technology Holding Co., Ltd.",3674,2016-05-26,2018-04-30,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",19,likely_completed
